hour,nestedness,clusterization,modularity
436985,0.05527639245233744,0.4457310403719526,0.7310695326093944
437039,0.0558756375739882,0.4394203642142626,0.7334326865140807
436988,0.05447153538895199,0.4537356785540396,0.7315841971126185
437057,0.055757836139445224,0.4522282291848461,0.731770242863728
437061,0.06623279092436951,0.453330100800879,0.7423267261936238
436999,0.05254827237901941,0.4419553945607762,0.7248550908564885
437059,0.05921182978997763,0.4364474601249492,0.7408628913916441
436997,0.05224834674246917,0.4380203660955957,0.7216567193479194
437044,0.05223991114971455,0.44193270643530796,0.7237210524230946
437048,0.05230702899782626,0.4413172968879929,0.7237971125915919
437068,0.06634606652506565,0.42443279329142614,0.741842388452643
437067,0.0518604312392468,0.44383296993345767,0.7213417910626954
437042,0.05606213206835405,0.44490743415063466,0.733233345121598
437027,0.05766239014871807,0.4531658853623578,0.7399699112796633
437047,0.05823835905055749,0.4392744096145872,0.7369436018248074
437014,0.051970490099112546,0.4496757281901425,0.7256393637863635
437016,0.05240491220750504,0.444820580959888,0.7253311100269068
437019,0.054832331738887775,0.43929917525294787,0.732345024663248
437035,0.06662902267774183,0.4242674423522718,0.7419261295142252
437017,0.05516765512948267,0.4470495894135463,0.7330473930042715
437033,0.05345279619802424,0.4382084837625441,0.7284400620041399
437023,0.06711447372786952,0.4317382358070664,0.7425602175402531
437025,0.06076922682294921,0.430910436147752,0.7425197508679721
437022,0.06761783981440304,0.4662859928758018,0.7512688403488044
437054,0.05238444003124539,0.4437774456138553,0.7252316243314574
437028,0.05171842783804494,0.44760041694160263,0.7251385257246689
437069,0.053612296950587196,0.44008612771345096,0.7279754119177692
437045,0.052308521609560565,0.43832451186540644,0.7216257824215065
437058,0.0516935464836218,0.4427300275943623,0.7219884403768503
437011,0.05458586973428618,0.43753353955015645,0.7321843531771697
437051,0.05193185262644213,0.44423897670001794,0.7254649450919597
436983,0.052115399637395796,0.4373164690137952,0.7217623390730827
437029,0.05506450878915245,0.4495842050435933,0.7312991434169033
436994,0.0851037431413728,0.41800303886129914,0.7426922709156331
437066,0.05268551399949108,0.44289032724503186,0.7263802502554007
437020,0.06742006231022732,0.4308427890849823,0.7423626621794419
437036,0.13708081422951193,0.3004494457397617,0.7579472451979579
437063,0.05346186660314737,0.43817214278656974,0.7286204928589846
437037,0.07823019920604819,0.444269112057785,0.763659141244842
437071,0.05235410467178336,0.4383011192660409,0.7237049081824521
437008,0.051552705335307834,0.4425663657164695,0.7214894097507613
437026,0.05566223705837112,0.4475344216039287,0.7318175233313915
437074,0.0554151648390691,0.4467319324863329,0.7343885674102157
437072,0.052269915926842214,0.43888630193880723,0.7233108514850726
436996,0.053218685096977185,0.4395640505097614,0.727815207076276
436990,0.052024157919461494,0.4452573309619584,0.7252216762069369
437062,0.05483542737492455,0.4516332958162864,0.7325750630247674
437032,0.05198871657878286,0.44754215372257894,0.7255917823349901
437018,0.06688688094434454,0.4214508891108423,0.7409003174495493
437021,0.06722679301946319,0.46048237523776636,0.7472893822330657
436992,0.0546233445437389,0.44061553542924303,0.7331595813414417
437010,0.05350039472670563,0.43915048152119746,0.728119422453376
437034,0.07199211096312184,0.4601881755461457,0.753759093059332
437024,0.06134149630054569,0.42778216557251125,0.7414891980707834
437007,0.06700070524104623,0.4763627867760949,0.751727267874622
436989,0.06148848088286738,0.4287109401526209,0.7408346844218298
437055,0.0596608809443832,0.4370005066533956,0.7411514479547419
436993,0.05188349739492328,0.44803451474447337,0.7248494124879983
436995,0.07621497972044716,0.44494576161499616,0.7565254051732635
437077,0.05265385389664269,0.441849451558442,0.7244167477314698
437006,0.07139664932962833,0.513524552384558,0.7527265128899476
437001,0.052115399637395796,0.43761414354744294,0.7218394710355805
437060,0.059856945563720385,0.43844597235164734,0.7401798447172386
437040,0.1538827720313789,0.3096737509654635,0.7683963585588213
437056,0.05592090362234643,0.45522247161476775,0.736681054544027
437078,0.0647534180585258,0.449401057559558,0.7376869572856213
437065,0.05626020995576071,0.45291503304339087,0.7350550839963671
436986,0.057992467199389476,0.43962903978675294,0.7370120673405894
437046,0.05225429214763841,0.45130635044098877,0.7259706496490718
437003,0.06463856369180508,0.42327295102501516,0.741193571405539
437064,0.05263311381170062,0.44273348248876143,0.7239152665827637
437000,0.05226844487313019,0.44265932714662787,0.7252832797510406
437009,0.05202074541288754,0.4417535325960436,0.7218595760740456
437079,0.052327375672402754,0.4457661327938084,0.7260477812764569
437076,0.052441463158319386,0.44564398770272623,0.724504497605254
437030,0.055353789571181915,0.44964803052366015,0.7326097121640284
437004,0.05195069685716484,0.4428285741606601,0.7241009144863169
437031,0.05214843277896021,0.4495647726036545,0.725889257612152
437002,0.09978682849573016,0.3676880587319127,0.7498129901711414
